metropolitan_area_name,efficiency,one_bedroom,two_bedroom,three_bedroom,four_bedroom,fmr_percentile,unnamed:_7,year
Angelina County,"Angelina County, TX",$855,$900,"$1,038","$1,330","$1,434",40,2025
Aransas County,"Aransas County, TX",$969,$976,"$1,280","$1,670","$1,914",40,2025
Archer County,"Wichita Falls, TX MSA",$823,$896,"$1,102","$1,506","$1,709",40,2025
Armstrong County,"Amarillo, TX HUD Metro FMR Area",$813,$952,"$1,158","$1,592","$1,848",40,2025
Atascosa County,"Atascosa County, TX HUD Metro FMR Area",$879,"$1,068","$1,182","$1,482","$1,567",40,2025
Austin County,"Austin County, TX HUD Metro FMR Area",$802,$891,"$1,001","$1,403","$1,635",40,2025
Bailey County,"Bailey County, TX",$732,$752,$933,"$1,217","$1,395",40,2025
Bandera County,"San Antonio-New Braunfels, TX HUD Metro FMR Area","$1,116","$1,231","$1,501","$1,907","$2,243",40,2025
Bastrop County,"Austin-Round Rock, TX MSA","$1,549","$1,650","$1,949","$2,484","$2,882",40,2025
Baylor County,"Baylor County, TX",$708,$713,$933,"$1,307","$1,395",40,2025
Bee County,"Bee County, TX",$844,$849,"$1,114","$1,421","$1,513",40,2025
Bell County,"Killeen-Temple, TX HUD Metro FMR Area",$924,$930,"$1,172","$1,631","$1,968",40,2025
Bexar County,"San Antonio-New Braunfels, TX HUD Metro FMR Area","$1,116","$1,231","$1,501","$1,907","$2,243",40,2025
Blanco County,"Blanco County, TX",$870,$875,"$1,120","$1,509","$1,675",40,2025
Borden County,"Borden County, TX",$766,$786,$976,"$1,273","$1,459",40,2025
Bosque County,"Bosque County, TX",$707,$711,$933,"$1,297","$1,301",40,2025
Bowie County,"Texarkana, TX-Texarkana, AR HUD Metro FMR Area",$848,$853,"$1,071","$1,327","$1,677",40,2025
Brazoria County,"Brazoria County, TX HUD Metro FMR Area",$951,"$1,138","$1,260","$1,683","$2,116",40,2025
Brazos County,"College Station-Bryan, TX MSA","$1,034","$1,089","$1,206","$1,690","$1,863",40,2025
Brewster County,"Brewster County, TX",$765,$804,$975,"$1,366","$1,524",40,2025
Briscoe County,"Briscoe County, TX",$732,$752,$933,"$1,307","$1,395",40,2025
Brooks County,"Brooks County, TX",$732,$752,$933,"$1,307","$1,395",40,2025
Brown County,"Brown County, TX",$690,$761,$999,"$1,274","$1,467",40,2025
Burleson County,"College Station-Bryan, TX MSA","$1,034","$1,089","$1,206","$1,690","$1,863",40,2025
Burnet County,"Burnet County, TX",$864,$869,"$1,124","$1,507","$1,513",40,2025
Caldwell County,"Austin-Round Rock, TX MSA","$1,549","$1,650","$1,949","$2,484","$2,882",40,2025
Calhoun County,"Calhoun County, TX",$732,$843,$933,"$1,307","$1,378",40,2025
Callahan County,"Abilene, TX MSA",$944,$950,"$1,207","$1,571","$1,899",40,2025
Cameron County,"Brownsville-Harlingen, TX MSA",$666,$757,$948,"$1,264","$1,310",40,2025
Camp County,"Camp County, TX",$727,$731,$933,"$1,307","$1,440",40,2025
Carson County,"Amarillo, TX HUD Metro FMR Area",$813,$952,"$1,158","$1,592","$1,848",40,2025
Cass County,"Cass County, TX",$707,$711,$933,"$1,238","$1,395",40,2025
Castro County,"Castro County, TX",$732,$750,$933,"$1,124","$1,395",40,2025
Chambers County,"Houston-The Woodlands-Sugar Land, TX HUD Metro FMR Area","$1,226","$1,279","$1,529","$2,038","$2,568",40,2025
Cherokee County,"Cherokee County, TX",$677,$712,$934,"$1,309","$1,397",40,2025
Childress County,"Childress County, TX",$766,$828,$976,"$1,275","$1,459",40,2025
Clay County,"Wichita Falls, TX MSA",$823,$896,"$1,102","$1,506","$1,709",40,2025
Cochran County,"Cochran County, TX",$732,$752,$933,"$1,124","$1,395",40,2025
Coke County,"Coke County, TX",$707,$711,$933,"$1,171","$1,395",40,2025
Coleman County,"Coleman County, TX",$771,$798,$990,"$1,197","$1,452",40,2025
Collin County,"Dallas, TX HUD Metro FMR Area","$1,531","$1,606","$1,884","$2,361","$3,033",40,2025
Collingsworth County,"Collingsworth County, TX",$732,$843,$933,"$1,217","$1,395",40,2025
Colorado County,"Colorado County, TX",$792,$814,"$1,010","$1,247","$1,510",40,2025
Comal County,"San Antonio-New Braunfels, TX HUD Metro FMR Area","$1,116","$1,231","$1,501","$1,907","$2,243",40,2025
Comanche County,"Comanche County, TX",$766,$786,$976,"$1,273","$1,459",40,2025
Concho County,"Concho County, TX",$857,$880,"$1,092","$1,316","$1,633",40,2025
Cooke County,"Cooke County, TX",$889,$895,"$1,174","$1,447","$1,753",40,2025
Coryell County,"Killeen-Temple, TX HUD Metro FMR Area",$924,$930,"$1,172","$1,631","$1,968",40,2025
Cottle County,"Cottle County, TX",$766,$786,$976,"$1,273","$1,459",40,2025
Crane County,"Crane County, TX",$774,$795,$987,"$1,189","$1,476",40,2025
Crockett County,"Crockett County, TX",$732,$752,$933,"$1,217","$1,395",40,2025
Crosby County,"Lubbock, TX HUD Metro FMR Area",$832,"$1,007","$1,192","$1,658","$1,947",40,2025
Culberson County,"Culberson County, TX",$766,$786,$976,"$1,273","$1,459",40,2025
Dallam County,"Dallam County, TX",$759,$874,$968,"$1,356","$1,448",40,2025
Dallas County,"Dallas, TX HUD Metro FMR Area","$1,531","$1,606","$1,884","$2,361","$3,033",40,2025
Dawson County,"Dawson County, TX",$713,$718,$942,"$1,135","$1,249",40,2025
Deaf Smith County,"Deaf Smith County, TX",$745,$760,$997,"$1,201","$1,655",40,2025
Delta County,"Delta County, TX",$732,$786,$933,"$1,274","$1,284",40,2025
Denton County,"Dallas, TX HUD Metro FMR Area","$1,531","$1,606","$1,884","$2,361","$3,033",40,2025
DeWitt County,"DeWitt County, TX",$825,$848,"$1,052","$1,292","$1,573",40,2025
Dickens County,"Dickens County, TX",$732,$752,$933,"$1,254","$1,395",40,2025
Dimmit County,"Dimmit County, TX",$732,$843,$933,"$1,307","$1,395",40,2025
Donley County,"Donley County, TX",$707,$711,$933,"$1,273","$1,319",40,2025
Duval County,"Duval County, TX",$732,$752,$933,"$1,307","$1,395",40,2025
Eastland County,"Eastland County, TX",$732,$843,$933,"$1,307","$1,567",40,2025
Ector County,"Odessa, TX MSA","$1,286","$1,295","$1,669","$2,011","$2,359",40,2025
Edwards County,"Edwards County, TX",$766,$786,$976,"$1,273","$1,459",40,2025
El Paso County,"El Paso, TX HUD Metro FMR Area",$821,"$1,020","$1,192","$1,647","$2,002",40,2025
Ellis County,"Dallas, TX HUD Metro FMR Area","$1,531","$1,606","$1,884","$2,361","$3,033",40,2025
Erath County,"Erath County, TX",$803,$809,"$1,061","$1,487","$1,782",40,2025
Falls County,"Falls County, TX HUD Metro FMR Area",$640,$711,$933,"$1,307","$1,567",40,2025
Fannin County,"Fannin County, TX",$714,$719,$943,"$1,321","$1,584",40,2025
Fayette County,"Fayette County, TX",$725,$772,$958,"$1,316","$1,515",40,2025
Fisher County,"Fisher County, TX",$707,$711,$933,"$1,180","$1,395",40,2025
Floyd County,"Floyd County, TX",$707,$711,$933,"$1,124","$1,395",40,2025
Foard County,"Foard County, TX",$714,$737,$933,"$1,217","$1,395",40,2025
Fort Bend County,"Houston-The Woodlands-Sugar Land, TX HUD Metro FMR Area","$1,226","$1,279","$1,529","$2,038","$2,568",40,2025
Franklin County,"Franklin County, TX",$797,$802,"$1,052","$1,267","$1,573",40,2025
Freestone County,"Freestone County, TX",$707,$711,$933,"$1,142","$1,395",40,2025
Frio County,"Frio County, TX",$750,$844,$990,"$1,291","$1,662",40,2025
Gaines County,"Gaines County, TX",$732,$808,$933,"$1,124","$1,395",40,2025
Galveston County,"Houston-The Woodlands-Sugar Land, TX HUD Metro FMR Area","$1,226","$1,279","$1,529","$2,038","$2,568",40,2025
Garza County,"Garza County, TX",$732,$752,$933,"$1,307","$1,478",40,2025
Gillespie County,"Gillespie County, TX",$965,$971,"$1,274","$1,688","$1,905",40,2025
Glasscock County,"Glasscock County, TX",$766,$786,$976,"$1,273","$1,459",40,2025
Goliad County,"Victoria, TX MSA","$1,092","$1,099","$1,392","$1,678","$1,846",40,2025
Gonzales County,"Gonzales County, TX",$644,$711,$933,"$1,307","$1,383",40,2025
Gray County,"Gray County, TX",$732,$737,$967,"$1,165","$1,282",40,2025
Grayson County,"Sherman-Denison, TX MSA","$1,068","$1,113","$1,342","$1,872","$2,254",40,2025
Gregg County,"Longview, TX HUD Metro FMR Area",$989,$995,"$1,193","$1,621","$1,709",40,2025
Grimes County,"Grimes County, TX",$764,$785,$974,"$1,173","$1,456",40,2025
Guadalupe County,"San Antonio-New Braunfels, TX HUD Metro FMR Area","$1,116","$1,231","$1,501","$1,907","$2,243",40,2025
Hale County,"Hale County, TX",$640,$843,$933,"$1,243","$1,461",40,2025
Hall County,"Hall County, TX",$707,$711,$933,"$1,307","$1,395",40,2025
Hamilton County,"Hamilton County, TX",$716,$721,$946,"$1,189","$1,415",40,2025
Hansford County,"Hansford County, TX",$760,$765,$988,"$1,294","$1,310",40,2025
Hardeman County,"Hardeman County, TX",$726,$731,$933,"$1,259","$1,395",40,2025
Hardin County,"Beaumont-Port Arthur, TX MSA",$915,$920,"$1,113","$1,460","$1,676",40,2025
Harris County,"Houston-The Woodlands-Sugar Land, TX HUD Metro FMR Area","$1,226","$1,279","$1,529","$2,038","$2,568",40,2025
Harrison County,"Harrison County, TX HUD Metro FMR Area",$820,$912,"$1,196","$1,441","$1,586",40,2025
Hartley County,"Hartley County, TX",$859,$882,"$1,096","$1,454","$1,459",40,2025
Haskell County,"Haskell County, TX",$732,$752,$933,"$1,307","$1,537",40,2025
Hays County,"Austin-Round Rock, TX MSA","$1,549","$1,650","$1,949","$2,484","$2,882",40,2025
Hemphill County,"Hemphill County, TX",$750,$776,$963,"$1,307","$1,431",40,2025
Henderson County,"Henderson County, TX",$736,$816,"$1,004","$1,328","$1,475",40,2025
Hidalgo County,"McAllen-Edinburg-Mission, TX MSA",$793,$798,$992,"$1,290","$1,430",40,2025
Hill County,"Hill County, TX",$649,$749,$947,"$1,248","$1,571",40,2025
Hockley County,"Hockley County, TX",$811,$843,$933,"$1,307","$1,567",40,2025
Hood County,"Hood County, TX","$1,047","$1,122","$1,334","$1,607","$2,113",40,2025
Hopkins County,"Hopkins County, TX",$716,$886,"$1,026","$1,402","$1,408",40,2025
Houston County,"Houston County, TX",$707,$711,$933,"$1,149","$1,237",40,2025
Howard County,"Howard County, TX",$873,$879,"$1,127","$1,358","$1,685",40,2025
Hudspeth County,"Hudspeth County, TX HUD Metro FMR Area",$726,$902,"$1,054","$1,270","$1,770",40,2025
Hunt County,"Dallas, TX HUD Metro FMR Area","$1,531","$1,606","$1,884","$2,361","$3,033",40,2025
Hutchinson County,"Hutchinson County, TX",$707,$711,$933,"$1,307","$1,567",40,2025
Irion County,"San Angelo, TX HUD Metro FMR Area",$863,$998,"$1,258","$1,691","$2,078",40,2025
Jack County,"Jack County, TX",$732,$843,$933,"$1,307","$1,395",40,2025
Jackson County,"Jackson County, TX",$777,$894,$990,"$1,206","$1,480",40,2025
Jasper County,"Jasper County, TX",$732,$789,$933,"$1,155","$1,237",40,2025
Jeff Davis County,"Jeff Davis County, TX",$766,$786,$976,"$1,273","$1,459",40,2025
Jefferson County,"Beaumont-Port Arthur, TX MSA",$915,$920,"$1,113","$1,460","$1,676",40,2025
Jim Hogg County,"Jim Hogg County, TX",$732,$752,$933,"$1,148","$1,395",40,2025
Jim Wells County,"Jim Wells County, TX",$766,$771,$933,"$1,307","$1,567",40,2025
Johnson County,"Fort Worth-Arlington, TX HUD Metro FMR Area","$1,371","$1,461","$1,705","$2,256","$2,752",40,2025
Jones County,"Abilene, TX MSA",$944,$950,"$1,207","$1,571","$1,899",40,2025
Karnes County,"Karnes County, TX",$774,$861,"$1,129","$1,400","$1,664",40,2025
Kaufman County,"Dallas, TX HUD Metro FMR Area","$1,531","$1,606","$1,884","$2,361","$3,033",40,2025
Kendall County,"Kendall County, TX HUD Metro FMR Area","$1,285","$1,408","$1,728","$2,282","$2,291",40,2025
Kenedy County,"Kenedy County, TX",$766,$786,$976,"$1,273","$1,459",40,2025
Kent County,"Kent County, TX",$766,$786,$976,"$1,273","$1,459",40,2025
Kerr County,"Kerr County, TX",$859,$925,"$1,095","$1,488","$1,692",40,2025
Kimble County,"Kimble County, TX",$707,$711,$933,"$1,185","$1,395",40,2025
King County,"King County, TX",$766,$786,$976,"$1,273","$1,459",40,2025
Kinney County,"Kinney County, TX",$766,$786,$976,"$1,273","$1,459",40,2025
Kleberg County,"Kleberg County, TX",$888,$899,"$1,179","$1,420","$1,763",40,2025
Knox County,"Knox County, TX",$732,$752,$933,"$1,217","$1,395",40,2025
La Salle County,"La Salle County, TX",$735,$755,$937,"$1,313","$1,401",40,2025
Lamar County,"Lamar County, TX",$732,$756,$933,"$1,254","$1,416",40,2025
Lamb County,"Lamb County, TX",$707,$711,$933,"$1,260","$1,550",40,2025
Lampasas County,"Lampasas County, TX HUD Metro FMR Area",$781,$787,"$1,032","$1,360","$1,733",40,2025
Lavaca County,"Lavaca County, TX",$798,$839,"$1,017","$1,225","$1,585",40,2025
Lee County,"Lee County, TX",$883,$907,"$1,126","$1,381","$1,493",40,2025
Leon County,"Leon County, TX",$646,$711,$933,"$1,232","$1,237",40,2025
Liberty County,"Houston-The Woodlands-Sugar Land, TX HUD Metro FMR Area","$1,226","$1,279","$1,529","$2,038","$2,568",40,2025
Limestone County,"Limestone County, TX",$707,$711,$933,"$1,124","$1,445",40,2025
Lipscomb County,"Lipscomb County, TX",$732,$752,$933,"$1,124","$1,395",40,2025
Live Oak County,"Live Oak County, TX",$707,$711,$933,"$1,287","$1,395",40,2025
Llano County,"Llano County, TX",$811,$816,"$1,071","$1,400","$1,738",40,2025
Loving County,"Loving County, TX",$766,$786,$976,"$1,273","$1,459",40,2025
Lubbock County,"Lubbock, TX HUD Metro FMR Area",$832,"$1,007","$1,192","$1,658","$1,947",40,2025
Lynn County,"Lynn County, TX HUD Metro FMR Area",$652,$742,$933,"$1,268","$1,567",40,2025
Madison County,"Madison County, TX",$707,$711,$933,"$1,296","$1,395",40,2025
Marion County,"Marion County, TX",$726,$730,$933,"$1,212","$1,395",40,2025
Martin County,"Martin County, TX HUD Metro FMR Area","$1,579","$1,589","$1,868","$2,352","$3,024",40,2025
Mason County,"Mason County, TX",$732,$752,$933,"$1,217","$1,395",40,2025
Matagorda County,"Matagorda County, TX",$863,$867,"$1,100","$1,372","$1,812",40,2025
Maverick County,"Maverick County, TX",$732,$797,$933,"$1,227","$1,282",40,2025
McCulloch County,"McCulloch County, TX",$765,$805,$975,"$1,175","$1,458",40,2025
McLennan County,"Waco, TX HUD Metro FMR Area",$944,"$1,106","$1,377","$1,776","$1,826",40,2025
McMullen County,"McMullen County, TX",$766,$786,$976,"$1,273","$1,459",40,2025
Medina County,"Medina County, TX HUD Metro FMR Area",$885,$908,"$1,191","$1,573","$1,579",40,2025
Menard County,"Menard County, TX",$732,$752,$933,"$1,307","$1,395",40,2025
Midland County,"Midland, TX HUD Metro FMR Area","$1,582","$1,591","$1,867","$2,398","$2,963",40,2025
Milam County,"Milam County, TX",$732,$750,$933,"$1,135","$1,517",40,2025
Mills County,"Mills County, TX",$732,$752,$933,"$1,307","$1,395",40,2025
Mitchell County,"Mitchell County, TX",$750,$838,$956,"$1,247","$1,430",40,2025
Montague County,"Montague County, TX",$830,$835,"$1,096","$1,433","$1,639",40,2025
Montgomery County,"Houston-The Woodlands-Sugar Land, TX HUD Metro FMR Area","$1,226","$1,279","$1,529","$2,038","$2,568",40,2025
Moore County,"Moore County, TX",$763,$768,"$1,008","$1,215","$1,507",40,2025
Morris County,"Morris County, TX",$707,$711,$933,"$1,226","$1,509",40,2025
Motley County,"Motley County, TX",$732,$752,$933,"$1,124","$1,395",40,2025
Nacogdoches County,"Nacogdoches County, TX",$799,$859,"$1,009","$1,237","$1,694",40,2025
Navarro County,"Navarro County, TX",$709,$805,$966,"$1,354","$1,550",40,2025
Newton County,"Newton County, TX",$732,$752,$933,"$1,286","$1,395",40,2025
Nolan County,"Nolan County, TX",$732,$780,$933,"$1,307","$1,567",40,2025
Nueces County,"Corpus Christi, TX MSA","$1,051","$1,128","$1,390","$1,816","$2,119",40,2025
Ochiltree County,"Ochiltree County, TX",$774,$795,$987,"$1,244","$1,476",40,2025
Oldham County,"Oldham County, TX HUD Metro FMR Area",$781,$915,"$1,113","$1,387","$1,776",40,2025
Orange County,"Beaumont-Port Arthur, TX MSA",$915,$920,"$1,113","$1,460","$1,676",40,2025
Palo Pinto County,"Palo Pinto County, TX",$762,$767,"$1,006","$1,259","$1,689",40,2025
Panola County,"Panola County, TX",$707,$711,$933,"$1,192","$1,376",40,2025
Parker County,"Fort Worth-Arlington, TX HUD Metro FMR Area","$1,371","$1,461","$1,705","$2,256","$2,752",40,2025
Parmer County,"Parmer County, TX",$722,$727,$954,"$1,149","$1,590",40,2025
Pecos County,"Pecos County, TX",$732,$843,$933,"$1,307","$1,395",40,2025
Polk County,"Polk County, TX",$771,$790,$983,"$1,187","$1,470",40,2025
Potter County,"Amarillo, TX HUD Metro FMR Area",$813,$952,"$1,158","$1,592","$1,848",40,2025
Presidio County,"Presidio County, TX",$766,$786,$976,"$1,273","$1,459",40,2025
Rains County,"Rains County, TX",$732,$843,$933,"$1,307","$1,466",40,2025
Randall County,"Amarillo, TX HUD Metro FMR Area",$813,$952,"$1,158","$1,592","$1,848",40,2025
Reagan County,"Reagan County, TX",$766,$786,$976,"$1,273","$1,459",40,2025
Real County,"Real County, TX",$792,$911,"$1,009","$1,316","$1,509",40,2025
Red River County,"Red River County, TX",$640,$837,$933,"$1,243","$1,567",40,2025
Reeves County,"Reeves County, TX",$774,$891,$987,"$1,241","$1,476",40,2025
Refugio County,"Refugio County, TX",$707,$711,$933,"$1,299","$1,395",40,2025
Roberts County,"Roberts County, TX",$766,$786,$976,"$1,273","$1,459",40,2025
Robertson County,"College Station-Bryan, TX MSA","$1,034","$1,089","$1,206","$1,690","$1,863",40,2025
Rockwall County,"Dallas, TX HUD Metro FMR Area","$1,531","$1,606","$1,884","$2,361","$3,033",40,2025
Runnels County,"Runnels County, TX",$781,$786,"$1,031","$1,242","$1,542",40,2025
Rusk County,"Rusk County, TX HUD Metro FMR Area",$832,$840,"$1,102","$1,396","$1,489",40,2025
Sabine County,"Sabine County, TX",$707,$711,$933,"$1,128","$1,395",40,2025
San Augustine County,"San Augustine County, TX",$766,$786,$976,"$1,273","$1,459",40,2025
San Jacinto County,"San Jacinto County, TX",$732,$843,$933,"$1,232","$1,237",40,2025
San Patricio County,"Corpus Christi, TX MSA","$1,051","$1,128","$1,390","$1,816","$2,119",40,2025
San Saba County,"San Saba County, TX",$713,$718,$942,"$1,214","$1,409",40,2025
Schleicher County,"Schleicher County, TX",$732,$752,$933,"$1,217","$1,395",40,2025
Scurry County,"Scurry County, TX",$756,$871,$964,"$1,351","$1,619",40,2025
Shackelford County,"Shackelford County, TX",$732,$752,$933,"$1,217","$1,395",40,2025
Shelby County,"Shelby County, TX",$732,$843,$933,"$1,307","$1,381",40,2025
Sherman County,"Sherman County, TX",$732,$752,$933,"$1,217","$1,395",40,2025
Smith County,"Tyler, TX MSA",$995,"$1,084","$1,333","$1,776","$2,011",40,2025
Somervell County,"Somervell County, TX",$732,$752,$933,"$1,307","$1,395",40,2025
Starr County,"Starr County, TX",$707,$711,$933,"$1,307","$1,470",40,2025
Stephens County,"Stephens County, TX",$766,$786,$976,"$1,273","$1,459",40,2025
Sterling County,"Sterling County, TX HUD Metro FMR Area",$863,$998,"$1,258","$1,687","$2,078",40,2025
Stonewall County,"Stonewall County, TX",$766,$786,$976,"$1,273","$1,459",40,2025
Sutton County,"Sutton County, TX",$707,$711,$933,"$1,164","$1,395",40,2025
Swisher County,"Swisher County, TX",$720,$724,$933,"$1,307","$1,395",40,2025
Tarrant County,"Fort Worth-Arlington, TX HUD Metro FMR Area","$1,371","$1,461","$1,705","$2,256","$2,752",40,2025
Taylor County,"Abilene, TX MSA",$944,$950,"$1,207","$1,571","$1,899",40,2025
Terrell County,"Terrell County, TX",$766,$786,$976,"$1,273","$1,459",40,2025
Terry County,"Terry County, TX",$732,$752,$933,"$1,307","$1,395",40,2025
Throckmorton County,"Throckmorton County, TX",$732,$752,$933,"$1,124","$1,395",40,2025
Titus County,"Titus County, TX",$707,$711,$933,"$1,204","$1,237",40,2025
Tom Green County,"San Angelo, TX HUD Metro FMR Area",$863,$998,"$1,258","$1,691","$2,078",40,2025
Travis County,"Austin-Round Rock, TX MSA","$1,549","$1,650","$1,949","$2,484","$2,882",40,2025
Trinity County,"Trinity County, TX",$744,$776,$948,"$1,142","$1,592",40,2025
Tyler County,"Tyler County, TX",$717,$721,$934,"$1,125","$1,397",40,2025
Upshur County,"Longview, TX HUD Metro FMR Area",$989,$995,"$1,193","$1,621","$1,709",40,2025
Upton County,"Upton County, TX",$732,$843,$933,"$1,217","$1,395",40,2025
Uvalde County,"Uvalde County, TX",$818,$823,"$1,080","$1,408","$1,610",40,2025
Val Verde County,"Val Verde County, TX",$761,$766,$980,"$1,294","$1,299",40,2025
Van Zandt County,"Van Zandt County, TX",$760,$780,"$1,023","$1,419","$1,424",40,2025
Victoria County,"Victoria, TX MSA","$1,092","$1,099","$1,392","$1,678","$1,846",40,2025
Walker County,"Walker County, TX",$766,$981,"$1,117","$1,384","$1,876",40,2025
Waller County,"Houston-The Woodlands-Sugar Land, TX HUD Metro FMR Area","$1,226","$1,279","$1,529","$2,038","$2,568",40,2025
Ward County,"Ward County, TX",$835,$961,"$1,064","$1,377","$1,591",40,2025
Washington County,"Washington County, TX",$905,$910,"$1,177","$1,540","$1,560",40,2025
Webb County,"Laredo, TX MSA",$953,$959,"$1,173","$1,493","$1,556",40,2025
Wharton County,"Wharton County, TX",$761,$766,$982,"$1,376","$1,524",40,2025
Wheeler County,"Wheeler County, TX",$735,$755,$937,"$1,129","$1,401",40,2025
Wichita County,"Wichita Falls, TX MSA",$823,$896,"$1,102","$1,506","$1,709",40,2025
Wilbarger County,"Wilbarger County, TX",$707,$711,$933,"$1,124","$1,421",40,2025
Willacy County,"Willacy County, TX",$707,$711,$933,"$1,232","$1,237",40,2025
Williamson County,"Austin-Round Rock, TX MSA","$1,549","$1,650","$1,949","$2,484","$2,882",40,2025
Wilson County,"San Antonio-New Braunfels, TX HUD Metro FMR Area","$1,116","$1,231","$1,501","$1,907","$2,243",40,2025
Winkler County,"Winkler County, TX",$751,$771,$957,"$1,199","$1,431",40,2025
Wise County,"Wise County, TX HUD Metro FMR Area",$974,"$1,006","$1,196","$1,676","$1,910",40,2025
Wood County,"Wood County, TX",$688,$765,"$1,003","$1,209","$1,500",40,2025
Yoakum County,"Yoakum County, TX",$862,$993,"$1,099","$1,324","$1,643",40,2025
Young County,"Young County, TX",$732,$752,$933,"$1,301","$1,361",40,2025
Zapata County,"Zapata County, TX",$707,$711,$933,"$1,124","$1,395",40,2025
Zavala County,"Zavala County, TX",$732,$752,$933,"$1,307","$1,395",40,2025
NOTE: Locality Names are links to the Final FY2025 FMR Documentation System for the specific area.,,,,,,,,2025
Select a different area,,,,,,,,2025
